"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"LeSean McCoy",FA,"RB1","1","10","2.1","2.0","0"
"2",1,"Jamaal Charles",FA,"RB2","1","21","3.6","3.8","0"
"3",1,"Matt Forte",FA,"RB3","1","17","4.5","3.3","+4"
"4",1,"Adrian Peterson",FA,"RB4","1","18","4.8","3.1","-1"
"5",1,"Calvin Johnson",FA,"WR1","2","32","5.2","3.9","0"
"6",2,"Demaryius Thomas",FA,"WR2","3","21","7.1","2.3","+2"
"7",2,"Jimmy Graham",FA,"TE1","4","29","7.4","4.3","-1"
"8",2,"Dez Bryant",FA,"WR3","4","18","8.7","2.6","+1"
"9",2,"Eddie Lacy",FA,"RB5","1","38","10.3","5.1","-5"
"10",2,"Montee Ball",FA,"RB6","3","24","12.0","4.0","0"
"11",3,"A.J. Green",FA,"WR4","7","28","13.0","4.5","+1"
"12",3,"DeMarco Murray",FA,"RB7","5","46","13.3","5.7","+2"
"13",3,"Brandon Marshall",FA,"WR5","8","26","15.2","4.6","+2"
"14",3,"Julio Jones",FA,"WR6","7","57","15.4","6.5","-1"
"15",3,"Giovani Bernard",FA,"RB8","4","27","16.5","5.3","+2"
"16",3,"Marshawn Lynch",FA,"RB9","5","40","16.6","5.5","0"
"17",3,"Antonio Brown",FA,"WR7","8","35","19.0","5.3","+1"
"18",3,"Andre Ellington",FA,"RB10","9","45","19.9","6.6","+6"
"19",3,"Jordy Nelson",FA,"WR8","12","50","20.9","5.5","0"
"20",3,"Doug Martin",FA,"RB11","9","60","21.8","9.1","+1"
"21",4,"Alshon Jeffery",FA,"WR9","12","57","23.7","7.2","+1"
"22",4,"Arian Foster",FA,"RB12","3","78","23.9","11.3","+4"
"23",4,"Le'Veon Bell",FA,"RB13","9","43","24.3","8.3","+6"
"24",4,"Reggie Bush",FA,"RB14","15","53","27.3","8.4","+10"
"25",4,"Randall Cobb",FA,"WR10","16","54","27.8","6.5","0"
"26",4,"Zac Stacy",FA,"RB15","13","54","30.4","9.8","+7"
"27",4,"Andre Johnson",FA,"WR11","16","57","31.7","9.3","+10"
"28",4,"Julius Thomas",FA,"TE2","6","62","32.5","9.0","-1"
"29",4,"Peyton Manning",FA,"QB1","18","61","32.6","6.5","-18"
"30",4,"Pierre Garcon",FA,"WR12","8","76","33.9","10.9","+10"
"31",4,"Rob Gronkowski",FA,"TE3","10","82","34.3","14.4","-1"
"32",4,"Vincent Jackson",FA,"WR13","20","53","34.5","7.1","+4"
"33",5,"Roddy White",FA,"WR14","14","61","35.6","9.9","-1"
"34",5,"Keenan Allen",LAC,"WR15","21","104","36.4","12.3","-6"
"35",5,"Victor Cruz",FA,"WR16","15","65","37.1","9.4","+10"
"36",5,"Drew Brees",FA,"QB2","28","52","37.4","5.2","-16"
"37",5,"Aaron Rodgers",PIT,"QB3","25","75","37.6","7.4","-14"
"38",5,"Shane Vereen",FA,"RB16","18","74","38.7","12.4","-7"
"39",5,"Alfred Morris",FA,"RB17","17","79","39.5","12.4","-4"
"40",5,"Ryan Mathews",FA,"RB18","17","76","40.8","11.9","+13"
"41",5,"Larry Fitzgerald",FA,"WR17","17","76","42.2","10.6","+1"
"42",5,"Rashad Jennings",FA,"RB19","24","75","43.9","9.1","-3"
"43",5,"C.J. Spiller",FA,"RB20","18","82","44.9","13.3","0"
"44",5,"Michael Crabtree",FA,"WR18","8","95","45.7","15.2","+6"
"45",5,"Michael Floyd",FA,"WR19","15","87","45.8","13.0","+4"
"46",6,"Joique Bell",FA,"RB21","22","91","51.0","16.1","0"
"47",6,"Ben Tate",FA,"RB22","25","97","51.9","11.2","+10"
"48",6,"Toby Gerhart",FA,"RB23","25","173","51.9","21.8","-4"
"49",6,"Cordarrelle Patterson",FA,"RB24","30","106","52.5","15.4","-11"
"50",6,"Julian Edelman",FA,"WR20","14","97","55.9","13.3","+1"
"51",6,"Chris Johnson",FA,"RB25","26","96","56.1","13.8","+10"
"52",6,"Kendall Wright",FA,"WR21","34","86","56.1","11.5","+11"
"53",6,"Matthew Stafford",LAR,"QB4","35","121","56.3","12.8","-6"
"54",6,"Torrey Smith",FA,"WR22","34","129","57.8","17.0","+4"
"55",6,"Percy Harvin",FA,"WR23","20","102","58.9","14.6","-7"
"56",6,"Pierre Thomas",FA,"RB26","25","131","56.5","17.2","0"
"57",6,"Frank Gore",FA,"RB27","29","93","62.0","10.7","+3"
"58",6,"Marques Colston",FA,"WR24","26","88","62.9","13.0","+11"
"59",6,"Ray Rice",FA,"RB28","18","129","60.3","19.8","-7"
"60",6,"Jordan Cameron",FA,"TE4","30","157","63.5","22.2","-6"
"61",6,"DeSean Jackson",FA,"WR25","31","96","63.7","12.0","+4"
"62",6,"Andrew Luck",FA,"QB5","35","99","64.5","10.0","-7"
"63",6,"T.Y. Hilton",FA,"WR26","39","128","67.1","14.7","-4"
"64",6,"Mike Wallace",FA,"WR27","36","122","67.8","16.3","+16"
"65",6,"Emmanuel Sanders",FA,"WR28","39","107","68.1","15.3","-24"
"66",6,"Eric Decker",FA,"WR29","46","115","68.6","13.8","+18"
"67",7,"Reggie Wayne",FA,"WR30","45","115","75.1","15.0","+14"
"68",7,"Matt Ryan",FA,"QB6","50","120","75.5","12.3","+2"
"69",7,"Maurice Jones-Drew",FA,"RB29","44","138","76.7","18.2","+5"
"70",7,"Tom Brady",FA,"QB7","60","108","77.3","9.4","-8"
"71",7,"Danny Woodhead",FA,"RB30","32","130","78.5","22.1","+2"
"72",7,"Fred Jackson",FA,"RB31","48","144","75.9","20.3","+11"
"73",7,"Nick Foles",FA,"QB8","51","120","78.7","11.5","+4"
"74",7,"Jason Witten",FA,"TE5","31","139","78.8","24.3","-6"
"75",7,"Jeremy Maclin",FA,"WR31","33","111","80.4","17.1","-9"
"76",7,"Trent Richardson",FA,"RB32","34","149","80.7","24.2","+2"
"77",7,"Steven Jackson",FA,"RB33","45","168","80.9","22.3","+12"
"78",7,"Greg Olsen",FA,"TE6","29","141","82.9","19.1","+13"
"79",7,"Dennis Pitta",FA,"TE7","32","148","83.3","19.3","+13"
"80",7,"Vernon Davis",FA,"TE8","36","162","84.3","27.9","-16"
"81",7,"Tony Romo",FA,"QB9","63","111","85.7","10.5","+7"
"82",7,"Golden Tate",FA,"WR32","49","130","83.3","15.2","-7"
"83",7,"Darren Sproles",FA,"RB34","33","142","86.0","22.7","-4"
"84",7,"Kyle Rudolph",FA,"TE9","38","158","86.3","19.8","-12"
"85",7,"Bishop Sankey",FA,"RB35","26","168","86.5","30.5","-18"
"86",7,"Lamar Miller",FA,"RB36","47","157","87.5","23.3","+10"
"87",7,"Jordan Reed",FA,"TE10","64","140","88.4","17.1","-5"
"88",7,"Terrance Williams",FA,"WR33","40","123","86.7","14.8","+2"
"89",7,"Jay Cutler",FA,"QB10","62","140","91.5","16.4","-4"
"90",7,"Knowshon Moreno",FA,"RB37","38","150","91.7","25.4","-4"
"91",8,"Robert Griffin III",FA,"QB11","40","158","94.7","19.0","+21"
"92",8,"Cam Newton",FA,"QB12","51","168","89.9","21.5","+5"
"93",8,"Colin Kaepernick",FA,"QB13","65","139","95.0","13.7","+16"
"94",8,"Russell Wilson",NYG,"QB14","72","147","99.9","16.5","+11"
"95",8,"Brandin Cooks",NO,"WR34","51","188","100.5","24.4","-19"
"96",8,"DeAndre Hopkins",BAL,"WR35","45","146","96.1","20.4","+15"
"97",8,"Bernard Pierce",FA,"RB38","51","145","98.8","22.3","+3"
"98",8,"Rueben Randle",FA,"WR36","43","188","97.5","20.3","+10"
"99",8,"Cecil Shorts",FA,"WR37","64","137","99.0","17.7","+31"
"100",8,"Wes Welker",FA,"WR38","7","196","92.5","31.6","-29"
"101",8,"Mark Ingram II",FA,"RB39","37","164","103.7","24.9","+6"
"102",8,"Stevan Ridley",FA,"RB40","63","169","104.1","23.7","-1"
"103",8,"Dwayne Bowe",FA,"WR39","74","143","100.0","13.8","+10"
"104",8,"Kelvin Benjamin",FA,"WR40","42","142","102.4","19.3","-17"
"105",8,"Brian Hartline",FA,"WR41","57","169","105.3","17.6","-"
"106",8,"Zach Ertz",WAS,"TE11","62","170","108.3","23.1","-7"
"107",8,"Sammy Watkins",FA,"WR42","80","186","104.0","16.9","+3"
"108",8,"Anquan Boldin",FA,"WR43","66","140","106.7","13.4","+9"
"109",8,"Philip Rivers",FA,"QB15","75","179","113.4","19.3","-6"
"110",8,"Riley Cooper",FA,"WR44","67","165","109.1","16.5","-4"
"111",8,"Greg Jennings",FA,"WR45","42","167","106.8","21.9","+27"
"112",8,"Mike Evans",TB,"WR46","63","179","109.8","17.0","-10"
"113",8,"DeAngelo Williams",FA,"RB41","74","160","114.6","18.6","+6"
"114",8,"Justin Hunter",FA,"WR47","64","166","104.2","18.5","-16"
"115",8,"Charles Clay",FA,"TE12","77","161","119.0","19.1","+20"
"116",8,"Jeremy Hill",FA,"RB42","56","168","113.6","26.3","-21"
"117",8,"Seattle Seahawks",SEA,"DST1","98","202","123.5","20.4","-24"
"118",9,"Martellus Bennett",FA,"TE13","76","173","125.3","19.8","0"
"119",9,"Steve Smith",FA,"WR48","50","174","121.2","26.9","+3"
"120",9,"Markus Wheaton",FA,"WR49","70","184","117.2","20.3","0"
"121",9,"Heath Miller",FA,"TE14","79","171","130.9","19.7","+16"
"122",9,"Hakeem Nicks",FA,"WR50","86","197","122.2","18.1","+2"
"123",9,"Darren McFadden",FA,"RB43","74","182","120.4","20.1","-2"
"124",9,"Doug Baldwin",FA,"WR51","59","155","116.7","17.3","-"
"125",9,"Shonn Greene",FA,"RB44","66","173","129.7","24.2","+14"
"126",9,"Ben Roethlisberger",FA,"QB16","85","185","126.4","22.1","+5"
"127",9,"Jarrett Boykin",FA,"WR52","70","193","129.8","22.9","+1"
"128",9,"Devonta Freeman",FA,"RB45","80","182","123.6","24.6","-24"
"129",9,"Terrance West",FA,"RB46","81","204","129.6","24.1","-14"
"130",9,"Antonio Gates",FA,"TE15","74","179","140.2","23.4","-"
"131",9,"Andy Dalton",CAR,"QB17","80","193","138.4","28.6","-8"
"132",9,"Tavon Austin",FA,"WR53","92","195","129.6","20.3","+21"
