PFR_ID,Week,Team,is_bye_week,PPR,Day,game_num,Age,Home_Away,Opp,WINS,LOSSES,PF,PA,OVER,OFF_TEAM,PASS,PBLK_TEAM,RECV_TEAM,RUN_TEAM,RBLK_TEAM,DEF,RDEF,TACK,PRSH,COV,WINS_opponent,LOSSES_opponent,PF_opponent,PA_opponent,OVER_opponent,OFF_opponent,PASS_opponent,PBLK_opponent,RECV_opponent,RUN_opponent,RBLK_opponent,DEF_opponent,RDEF_opponent,TACK_opponent,PRSH_opponent,COV_opponent,games_played,SNP,ATT,YDS,YPA,TD,FUM,OFF_PLAYER,RUN_PLAYER,FUMBLE_GRADE_PLAYER,RBLK_PLAYER,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV_PLAYER,PBLK_PLAYER,TGT,REC,RECV_YARDS,RSNP,Y/RR,DRP,RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,YEAR,player_status
AbduAm00,2,LVR,False,2.2,Sun,2.0,31.26,Away,BAL,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,13.0,4.0,483.0,280.0,93.7,81.5,84.4,73.7,75.2,90.7,67.9,89.1,64.7,52.5,81.5,92.9,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,3,LVR,False,3.3,Sun,3.0,31.28,Home,CAR,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,2.0,15.0,236.0,416.0,68.6,61.0,57.0,53.6,63.3,79.5,53.5,73.0,65.1,32.0,71.5,79.8,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,4,LVR,False,0.0,Sun,3.0,31.28,Home,CLE,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,11.0,6.0,396.0,362.0,80.6,64.7,55.6,65.3,66.4,75.5,56.6,84.7,58.9,48.0,91.3,90.8,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,missed_game
AbduAm00,5,LVR,False,14.1,Sun,5.0,31.32,Away,DEN,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,8.0,9.0,357.0,413.0,75.9,74.6,71.0,72.7,69.6,77.6,72.3,60.0,59.3,34.2,69.8,48.4,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,6,LVR,False,4.8,Sun,6.0,31.33,Home,PIT,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,10.0,7.0,304.0,324.0,81.3,68.0,62.5,47.3,69.6,83.6,63.0,81.0,69.2,55.1,88.6,74.9,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,7,LVR,False,0.0,Sun,6.0,31.33,Away,LAR,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,10.0,7.0,404.0,377.0,84.2,80.2,82.2,62.6,75.2,90.2,71.1,69.6,71.5,51.6,76.8,50.0,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,missed_game
AbduAm00,8,LVR,False,2.1,Sun,8.0,31.37,Home,KAN,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,11.0,6.0,371.0,294.0,84.0,74.8,79.7,71.2,72.0,84.4,59.3,73.0,61.2,59.6,77.5,71.0,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,9,LVR,False,5.6,Sun,9.0,31.39,Away,CIN,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,9.0,8.0,366.0,384.0,80.0,73.2,77.1,58.8,75.3,76.9,55.7,67.9,62.3,73.3,76.2,60.9,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,10,LVR,True,0.0,,9.0,31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,bye_week
AbduAm00,11,LVR,False,10.7,Sun,10.0,31.43,Away,MIA,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,11.0,6.0,496.0,391.0,94.4,85.9,89.6,66.2,87.1,91.7,59.3,88.7,88.6,48.7,86.3,78.7,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,12,LVR,False,17.5,Sun,11.0,31.45,Home,DEN,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,8.0,9.0,357.0,413.0,75.9,74.6,71.0,72.7,69.6,77.6,72.3,60.0,59.3,34.2,69.8,48.4,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,13,LVR,False,7.3,Fri,12.0,31.46,Away,KAN,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,11.0,6.0,371.0,294.0,84.0,74.8,79.7,71.2,72.0,84.4,59.3,73.0,61.2,59.6,77.5,71.0,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,14,LVR,False,1.0,Sun,13.0,31.49,Away,TAM,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,9.0,8.0,348.0,325.0,75.9,69.6,72.9,70.7,71.3,68.1,52.2,69.0,58.6,66.9,74.8,69.6,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
AbduAm00,15,LVR,False,19.6,Mon,14.0,31.51,Home,ATL,8.0,9.0,332.0,331.0,82.5,71.2,64.9,68.5,71.6,73.9,62.9,78.5,73.9,53.3,75.3,80.2,7.0,10.0,321.0,373.0,81.0,70.8,49.4,74.2,74.0,76.7,68.2,76.8,87.6,61.0,64.6,65.2,17.0,17.0,15.0,89,5.9,0.0,0.0,55.5,69.2,78.7,60.0,43,2.87,1.0,12.0,2.0,5.0,7.0,0.0,0.0,89,0.0,0.0,0.0,6.0,61.8,17.7,23.0,19.0,131.0,143.0,0.92,0.0,389.0,12.0,240.0,401.0,324.2,37.6,125.0,108.0,2024,played
