RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
1,1,1,4,1.6,0.8,0.0,1,FostAr00
2,1,1,5,1.8,0.8,0.0,2,RiceRa00
3,1,1,4,2.9,0.7,0.0,3,McCoLe01
4,1,3,7,4.4,1.2,1.0,1,JohnCa00
5,2,4,12,6.2,1.8,-1.0,1,RodgAa00
6,2,4,19,7.9,3.6,0.0,4,JohnCh04
7,2,4,21,8.4,4.2,0.0,5,McFaDa00
8,2,5,22,10.9,4.5,3.0,6,FortMa00
9,2,4,19,11.2,4.0,-1.0,2,BradTo00
10,3,8,19,12.4,3.1,0.0,1,GrahJi00
11,3,6,25,13.4,4.2,-2.0,3,BreeDr00
12,3,6,23,13.4,4.4,7.0,2,FitzLa00
13,3,7,37,16.6,8.3,-1.0,7,MurrDe00
14,3,10,26,16.9,4.7,-1.0,2,GronRo00
15,3,9,33,18.2,5.4,11.0,3,WelkWe00
16,4,8,37,20.0,7.9,2.0,4,JoneJu02
17,4,8,34,20.1,6.5,18.0,5,WhitRo00
18,4,9,32,20.7,6.4,7.0,6,JohnAn02
19,4,4,42,20.9,10.3,11.0,8,MathRy00
20,4,11,33,21.0,5.9,8.0,7,GreeA.00
21,4,9,44,22.2,7.8,11.0,9,SproDa00
22,4,14,32,23.0,5.3,7.0,8,MarsBr00
23,4,7,58,24.6,11.7,-9.0,10,DrewMa00
24,4,15,37,24.6,5.6,7.0,9,JennGr00
25,4,10,41,25.3,8.2,-9.0,11,CharJa00
26,4,14,34,26.7,4.6,-5.0,4,StafMa00
27,4,16,38,27.3,6.2,11.0,10,NickHa01
28,4,12,51,27.4,7.9,-11.0,5,NewtCa00
29,4,10,38,28.0,6.8,14.0,11,HarvPe00
30,5,12,42,28.6,7.9,3.0,12,CruzVi00
31,5,12,52,29.4,10.3,-8.0,12,JackSt00
32,5,11,62,30.9,11.4,-10.0,13,RichTr00
33,5,13,57,31.8,11.8,-13.0,14,LyncMa00
34,5,21,47,34.5,6.5,5.0,13,NelsJo00
35,5,20,47,37.7,6.2,9.0,14,BryaDe01
36,5,21,63,38.5,11.2,-9.0,15,MartDo00
37,5,32,54,38.9,5.5,12.0,15,SmitSt01
38,5,27,63,39.6,7.8,7.0,16,ColsMa00
39,5,17,61,39.6,11.1,-15.0,16,JackFr02
40,5,21,63,40.0,10.4,10.0,17,WallMi00
41,5,26,66,40.9,9.2,-26.0,17,PeteAd01
42,6,29,69,43.5,10.9,-6.0,18,BradAh00
43,6,32,64,44.0,8.3,14.0,18,MaclJe00
44,6,32,68,46.5,8.6,10.0,19,BrowAn04
45,6,29,76,47.6,10.8,-5.0,19,BushRe00
46,6,35,67,48.1,8.0,30.0,20,JohnSt02
47,6,34,66,49.5,9.8,19.0,21,BoweDw00
48,6,26,78,49.6,12.6,10.0,22,ThomDe03
49,6,38,60,50.1,5.7,-7.0,3,HernAa00
50,6,28,71,50.6,12.1,11.0,23,LloyBr00
51,6,38,62,50.9,6.0,-10.0,4,GateAn00
52,6,35,80,51.4,12.4,8.0,24,AustMi00
53,6,38,77,53.9,10.8,15.0,25,DeckEr00
54,6,37,71,54.1,6.2,-7.0,6,VickMi00
55,6,41,79,55.8,10.7,10.0,26,JackVi00
56,6,46,72,56.6,5.4,-4.0,7,MannEl00
57,6,35,77,57.5,8.9,-9.0,8,RyanMa00
58,7,49,83,59.9,9.0,-7.0,5,DaviVe00
59,7,52,76,61.5,6.7,14.0,9,RomoTo00
60,7,37,95,61.8,14.0,-23.0,20,GoreFr00
61,7,43,85,63.2,9.8,23.0,27,WaynRe00
62,7,47,81,63.9,8.2,-6.0,6,FinlJe00
63,7,44,85,65.2,9.1,7.0,28,JackDe00
64,7,38,97,66.5,16.2,-30.0,21,TurnMi00
65,7,41,109,68.3,16.4,14.0,22,StewJo00
66,7,56,89,68.3,9.3,-3.0,10,RivePh00
67,7,49,108,69.5,16.7,8.0,7,WittJa00
68,7,55,91,70.4,8.7,-4.0,11,MannPe00
69,7,43,100,72.4,14.5,5.0,29,SmitTo02
70,7,38,133,74.9,18.9,8.0,23,SpilC.00
71,7,54,118,75.0,15.4,-18.0,24,GreeSh00
72,7,51,90,75.1,9.1,15.0,30,GarcPi00
73,7,55,112,76.1,15.8,-2.0,8,PettBr00
74,7,50,117,79.1,13.2,3.0,9,DaviFr01
75,7,36,116,79.3,19.0,-29.0,25,McGaWi00
76,7,48,126,80.0,19.4,10.0,31,BritKe00
77,8,53,125,81.0,18.5,-15.0,26,BrowDo00
78,8,54,122,85.2,15.5,-23.0,27,GreeBe00
79,8,69,116,86.3,11.5,12.0,12,RoetBe00
80,8,67,123,87.9,12.9,16.0,32,MeacRo00
81,8,64,120,88.1,15.3,22.0,33,HeywDa00
82,8,65,124,90.2,15.7,38.0,34,LittGr00
83,8,56,147,90.7,23.0,-14.0,28,HillPe00
84,8,60,132,91.5,18.0,10.0,13,CutlJa00
85,8,59,139,92.5,22.0,-13.0,29,RidlSt00
86,8,66,114,92.6,14.3,6.0,10,GonzTo00
87,8,77,132,93.6,14.9,21.0,35,MoorDe02
88,8,68,145,93.7,20.0,-6.0,14,GrifRo01
89,8,66,142,95.7,18.4,8.0,36,BlacJu00
90,8,69,151,95.9,17.8,-7.0,30,WillDe02
91,8,71,154,96.0,19.3,-32.0,31,WellCh00
92,8,76,136,101.4,17.8,17.0,37,BoldAn00
93,8,79,141,102.8,17.3,18.0,38,HolmSa00
94,8,77,128,103.1,14.0,19.0,39,CrabMi00
95,9,74,132,103.5,14.8,3.0,11,GresJe00
96,9,78,135,103.7,14.3,4.0,40,FloyMa00
97,9,73,136,103.8,14.5,10.0,12,TammJa00
98,9,70,167,105.2,28.2,-31.0,32,RedmIs20
99,9,60,163,105.2,31.9,-9.0,33,SmitKe02
100,9,78,150,105.2,20.4,2.0,41,YounTi00
101,9,60,177,106.4,32.8,-12.0,34,HeluRo00
102,9,84,141,106.9,15.7,14.0,42,MoorLa00
103,9,76,140,107.1,15.3,-22.0,35,IngrMa01
104,9,91,133,108.0,10.3,14.0,13,CeleBr00
105,9,85,145,108.1,18.4,9.0,43,RiceSi01
106,9,58,191,109.0,30.8,19.0,36,RodgJa00
107,9,82,146,109.0,17.2,22.0,44,WillMi04
108,9,75,148,110.0,19.2,-28.0,37,TateBe00
109,9,74,157,110.6,25.1,-16.0,38,WillRy00
110,9,76,150,111.9,17.2,11.0,39,ThomPi00
111,9,74,165,112.5,21.6,-26.0,40,WilsDa01
112,9,68,177,114.6,26.6,-11.0,15,SchaMa00
113,9,75,157,115.0,20.4,-3.0,14,CookJa02
114,9,72,163,116.5,19.5,-19.0,41,BushMi00
115,9,88,147,117.5,16.9,-3.0,45,WashNa00
116,9,95,152,117.6,13.5,32.0,15,KellDu00
117,9,61,187,117.8,28.2,22.0,46,AmenDa00
118,9,101,149,118.9,11.3,9.0,16,DaniOw00
119,9,77,158,118.9,19.8,-4.0,17,OlseGr00
120,9,75,171,120.0,20.7,51.0,47,MossSa00
121,9,77,180,122.3,23.1,19.0,18,RudoKy00
122,9,81,197,124.5,33.6,-23.0,42,JennRa00
123,9,69,182,125.5,30.0,35.0,48,CollAu00
124,9,85,194,127.6,24.3,81.0,49,BessDa00
125,10,63,200,122.6,41.6,-37.0,43,BensCe00
126,10,88,176,130.4,22.4,4.0,16,FreeJo00
127,10,97,172,130.9,17.8,9.0,19,FleeCo00
128,10,92,169,131.3,22.4,-22.0,44,GerhTo00
129,10,73,193,131.4,31.6,-24.0,17,LuckAn00
130,10,78,195,133.7,29.1,-4.0,45,HillRo00
131,10,74,199,133.7,31.1,-14.0,46,LeshMi00
132,10,97,157,134.3,14.1,49.0,50,RobiLa01
133,10,104,177,135.5,18.9,-14.0,18,FlacJo00
134,10,95,186,136.5,21.8,-12.0,19,PalmCa00
135,10,94,164,137.0,18.8,14.0,51,WrigKe01
136,10,100,165,136.3,19.3,25.0,52,LaFeBr00
137,10,104,178,139.9,19.4,33.0,53,BaldDo00
138,10,109,175,142.7,15.2,80.0,54,BurlNa00
139,10,97,180,142.4,18.2,47.0,55,QuicBr00
140,10,119,181,141.3,14.8,32.0,56,FloyMi00
141,10,94,185,144.4,19.9,12.0,57,MossRa00
142,10,111,196,148.3,23.8,13.0,47,VereSh00
143,10,91,184,149.8,23.7,7.0,20,FitzRy00
145,10,119,178,150.5,13.9,31.0,58,MannMa01
146,10,112,196,150.8,23.3,6.0,48,JoneFe00
147,10,95,185,150.3,20.4,-3.0,59,CobbRa00
148,10,134,184,152.5,13.4,29.0,60,JeffAl00
149,10,102,193,152.8,23.8,43.0,61,BaldJo00
150,10,79,185,140.5,33.8,-12.0,49,StarJa00
