#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
18.0,690.0,577.0,380.0,65.9,4712,8.2,33.0,5.0,91.9,91.4,70.7,76.4,47.0,7.6,11.0,1.5,10.0,76.3,26.0,6.4,5.0,4.0,32.0,283.0,54.0,19.1,2.95,57.0,237.0,106.4,WilsRu00
12.0,427.0,411.0,307.0,74.7,3187,7.8,28.0,5.0,90.8,89.7,65.9,87.7,11.0,2.5,10.0,2.2,6.9,83.2,14.0,4.4,3.0,5.0,12.0,107.0,15.0,14.0,2.4,1.0,171.0,114.3,BreeDr00
7.0,10.0,7.0,4.0,57.1,105,15.0,0.0,0.0,88.7,88.0,83.5,82.8,1.0,14.3,0.0,0.0,22.7,83.3,1.0,20.0,0.0,0.0,1.0,5.0,1.0,20.0,3.68,2.0,5.0,101.8,HillTa00
14.0,405.0,346.0,237.0,68.5,3111,9.0,27.0,7.0,90.2,87.4,78.8,30.0,23.0,6.3,12.0,2.8,10.2,75.4,8.0,3.3,6.0,4.0,8.0,126.0,36.0,28.6,2.97,23.0,160.0,114.2,TannRy00
17.0,659.0,596.0,391.0,65.6,4932,8.3,36.0,7.0,90.0,86.0,81.9,62.0,36.0,5.4,19.0,2.6,8.5,77.2,33.0,7.8,7.0,8.0,32.0,198.0,23.0,11.6,2.84,39.0,243.0,106.5,MahoPa00
17.0,549.0,504.0,347.0,68.8,4019,8.0,28.0,7.0,84.2,85.4,30.5,42.7,24.0,4.4,15.0,2.6,8.3,80.3,23.0,6.2,10.0,6.0,27.0,200.0,36.0,18.0,2.87,9.0,186.0,105.4,CousKi00
16.0,537.0,460.0,296.0,64.3,3492,7.6,37.0,8.0,90.2,82.5,90.6,62.6,25.0,5.2,11.0,2.0,9.6,75.1,23.0,7.2,10.0,3.0,19.0,165.0,27.0,16.4,3.06,49.0,204.0,106.9,JackLa00
18.0,704.0,636.0,401.0,63.1,4577,7.2,30.0,6.0,83.7,82.1,71.5,63.3,41.0,6.0,19.0,2.5,9.1,74.2,31.0,7.2,3.0,4.0,46.0,235.0,41.0,17.4,2.92,27.0,227.0,96.4,RodgAa00
8.0,320.0,291.0,187.0,64.3,2499,8.6,19.0,5.0,82.6,81.6,62.5,49.8,25.0,8.2,12.0,3.6,11.4,69.4,6.0,3.1,1.0,3.0,7.0,120.0,18.0,15.0,2.61,9.0,121.0,106.0,StafMa00
16.0,556.0,513.0,361.0,70.4,4055,7.9,21.0,8.0,79.9,81.2,40.2,68.0,17.0,3.2,11.0,1.9,6.9,82.3,25.0,6.5,9.0,2.0,31.0,158.0,29.0,18.4,2.75,14.0,197.0,100.8,CarrDe02
1.0,21.0,21.0,12.0,57.1,126,6.0,0.0,2.0,78.7,80.5,56.1,77.2,2.0,9.1,1.0,4.5,7.4,77.8,2.0,14.3,2.0,1.0,0.0,6.0,0.0,0.0,2.65,0.0,6.0,35.1,MannSe00
17.0,691.0,572.0,384.0,67.1,4487,7.8,29.0,12.0,82.7,78.0,79.7,37.4,35.0,5.8,27.0,3.7,9.1,76.4,31.0,7.5,3.0,3.0,20.0,267.0,55.0,20.6,3.03,60.0,243.0,98.9,WatsDe00
16.0,639.0,596.0,388.0,65.1,4901,8.2,30.0,11.0,80.1,76.6,76.2,66.4,29.0,4.6,22.0,3.2,9.8,76.1,43.0,10.0,7.0,7.0,15.0,204.0,23.0,11.3,2.81,20.0,239.0,99.7,PresDa01
17.0,680.0,650.0,393.0,60.5,4266,6.6,24.0,9.0,79.0,76.0,73.0,82.7,23.0,3.3,18.0,2.5,8.0,72.6,37.0,8.6,6.0,6.0,46.0,197.0,27.0,13.7,2.63,3.0,206.0,86.4,BradTo00
15.0,580.0,502.0,311.0,62.0,3529,7.0,19.0,13.0,77.4,75.6,66.3,56.4,18.0,3.3,17.0,2.7,9.6,73.4,31.0,9.1,14.0,7.0,12.0,230.0,40.0,17.4,2.61,37.0,198.0,84.8,FitzRy00
17.0,679.0,611.0,389.0,63.7,4042,6.6,27.0,7.0,76.5,75.4,61.0,28.6,33.0,5.0,25.0,3.5,8.5,73.9,33.0,7.8,14.0,11.0,14.0,244.0,38.0,15.6,2.71,29.0,220.0,92.7,WentCa00
19.0,589.0,534.0,366.0,68.5,4405,8.2,29.0,16.0,77.3,75.1,68.1,57.2,15.0,2.6,22.0,3.5,6.9,78.3,30.0,7.6,8.0,4.0,14.0,176.0,40.0,22.7,2.58,13.0,222.0,99.2,GaroJi00
