#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
19.0,442.0,367.0,2191,6.0,19.0,3.0,94.1,93.5,73.1,55.5,1323,3.6,87.0,87.0,53.0,205.0,160.0,0.0,0.0,2191,30.0,930,42.4,105.0,62.4,61.2,23.0,19.0,193.0,197.0,0.98,2.0,HenrDe00
17.0,336.0,304.0,1456,4.8,14.0,1.0,92.8,92.8,91.6,78.8,920,3.03,69.0,37.0,34.0,231.0,71.0,0.0,0.0,1456,12.0,252,17.3,82.0,82.2,51.6,70.0,61.0,431.0,389.0,1.11,2.0,RobiBi01
18.0,284.0,264.0,1517,5.7,18.0,1.0,90.1,91.4,86.5,72.5,868,3.29,65.0,70.0,46.0,173.0,85.0,0.0,0.0,1517,27.0,638,42.1,76.0,74.8,23.1,73.0,58.0,587.0,347.0,1.69,2.0,GibbJa01
11.0,180.0,153.0,573,3.7,7.0,1.0,88.5,91.3,78.0,68.7,467,3.05,59.0,28.0,13.0,81.0,68.0,0.0,0.0,573,6.0,130,22.7,28.0,72.9,29.7,52.0,46.0,299.0,224.0,1.33,1.0,WalkKe00
18.0,365.0,319.0,1410,4.4,16.0,5.0,92.3,91.3,61.8,55.2,1113,3.49,78.0,38.0,34.0,167.0,150.0,0.0,0.0,1410,12.0,313,22.2,76.0,89.2,55.3,44.0,39.0,382.0,265.0,1.44,0.0,JacoJo01
16.0,278.0,236.0,1094,4.6,8.0,4.0,90.4,90.6,63.2,66.6,779,3.3,62.0,53.0,34.0,70.0,162.0,0.0,0.0,1094,16.0,339,31.0,65.0,67.3,76.9,53.0,47.0,414.0,269.0,1.54,2.0,ConnJa00
7.0,46.0,35.0,173,4.9,2.0,0.0,88.4,90.1,80.7,57.8,137,3.91,14.0,25.0,3.0,14.0,21.0,0.0,0.0,173,3.0,59,34.1,10.0,58.5,29.5,1.0,1.0,12.0,20.0,0.6,0.0,RodrCh00
18.0,257.0,224.0,1199,5.4,8.0,2.0,90.8,90.0,72.9,55.2,881,3.93,57.0,56.0,29.0,89.0,123.0,0.0,0.0,1199,15.0,419,34.9,55.0,90.5,28.9,52.0,49.0,398.0,246.0,1.62,1.0,IrviBu00
19.0,298.0,260.0,1281,4.9,19.0,1.0,86.2,88.6,86.1,30.8,842,3.24,46.0,65.0,26.0,134.0,125.0,0.0,0.0,1281,14.0,397,31.0,64.0,65.1,59.5,44.0,38.0,322.0,258.0,1.25,3.0,CookJa01
19.0,103.0,60.0,270,4.5,5.0,0.0,72.0,86.3,57.4,41.4,208,3.47,13.0,28.0,6.0,31.0,28.0,0.0,0.0,270,3.0,70,25.9,16.0,51.6,59.8,10.0,9.0,27.0,136.0,0.2,0.0,McNiJe00
18.0,130.0,106.0,508,4.8,4.0,0.0,82.9,86.3,88.5,62.6,307,2.9,27.0,21.0,13.0,64.0,39.0,0.0,0.0,508,7.0,125,24.6,27.0,63.4,60.5,15.0,12.0,71.0,109.0,0.65,1.0,WilsEm00
15.0,275.0,250.0,1195,4.8,10.0,4.0,75.4,86.3,52.3,63.3,865,3.46,46.0,38.0,26.0,163.0,81.0,0.0,0.0,1195,15.0,337,28.2,62.0,39.5,56.9,52.0,43.0,171.0,336.0,0.51,1.0,HubbCh01
17.0,165.0,137.0,644,4.7,3.0,0.0,86.4,85.7,90.1,49.4,494,3.61,36.0,25.0,18.0,101.0,33.0,0.0,0.0,644,9.0,177,27.5,43.0,67.7,59.6,13.0,13.0,88.0,93.0,0.95,0.0,AllgTy00
20.0,538.0,436.0,2504,5.7,18.0,2.0,85.3,84.7,86.3,67.6,1446,3.32,80.0,78.0,55.0,245.0,184.0,0.0,0.0,2504,32.0,1107,44.2,99.0,67.0,60.5,54.0,46.0,353.0,375.0,0.94,2.0,BarkSa00
17.0,249.0,203.0,907,4.5,6.0,1.0,81.6,82.8,83.9,40.4,590,2.91,32.0,61.0,21.0,121.0,69.0,0.0,0.0,907,10.0,286,31.5,38.0,80.6,15.7,85.0,78.0,592.0,408.0,1.45,1.0,AchaDe00
17.0,113.0,92.0,334,3.6,2.0,0.0,73.6,82.0,87.9,50.3,263,2.86,10.0,20.0,5.0,54.0,36.0,0.0,0.0,334,1.0,20,6.0,22.0,50.3,52.7,26.0,19.0,148.0,134.0,1.1,4.0,AlleBr05
12.0,59.0,46.0,318,6.9,2.0,1.0,72.0,81.9,50.1,43.9,289,6.28,11.0,92.0,7.0,26.0,19.0,0.0,0.0,318,2.0,146,45.9,7.0,48.6,43.7,4.0,2.0,2.0,59.0,0.03,0.0,PierDa01
17.0,121.0,59.0,290,4.9,1.0,0.0,79.5,81.9,87.2,52.0,235,3.98,17.0,51.0,9.0,33.0,17.0,0.0,0.0,285,4.0,115,39.7,18.0,89.0,52.3,52.0,48.0,403.0,264.0,1.53,0.0,HillJu00
14.0,127.0,104.0,565,5.4,3.0,0.0,71.2,80.3,90.1,57.7,364,3.5,24.0,66.0,13.0,57.0,42.0,0.0,0.0,565,7.0,255,45.1,25.0,59.7,45.1,42.0,37.0,225.0,304.0,0.74,1.0,FordJe00
15.0,201.0,192.0,803,4.2,12.0,2.0,85.9,80.1,68.1,60.0,603,3.14,42.0,21.0,18.0,124.0,64.0,0.0,0.0,803,5.0,89,11.1,52.0,90.7,47.4,37.0,36.0,341.0,158.0,2.16,0.0,MontDa01
6.0,44.0,39.0,148,3.8,1.0,0.0,73.3,79.7,83.1,60.0,126,3.23,13.0,17.0,6.0,28.0,9.0,0.0,0.0,148,2.0,33,22.3,11.0,49.2,47.2,8.0,5.0,33.0,47.0,0.7,2.0,MillKe01
13.0,34.0,24.0,223,9.3,1.0,0.0,70.8,79.0,80.8,47.7,165,6.88,9.0,53.0,6.0,10.0,14.0,0.0,0.0,223,3.0,110,49.3,8.0,68.6,43.9,19.0,16.0,104.0,94.0,1.11,0.0,DemeEm00
17.0,167.0,135.0,569,4.2,8.0,0.0,77.5,78.8,90.2,62.6,452,3.35,32.0,51.0,16.0,61.0,64.0,0.0,0.0,569,5.0,130,22.8,33.0,66.8,74.2,47.0,42.0,308.0,284.0,1.08,0.0,CharZa00
20.0,115.0,61.0,307,5.0,1.0,0.0,73.3,78.5,86.3,47.5,193,3.16,11.0,19.0,9.0,49.0,11.0,0.0,0.0,307,4.0,71,23.1,18.0,73.0,31.9,29.0,22.0,318.0,231.0,1.38,0.0,JohnTy02
18.0,309.0,269.0,1060,3.9,6.0,0.0,77.2,77.5,91.3,65.9,776,2.88,61.0,36.0,30.0,192.0,76.0,0.0,0.0,1060,11.0,256,24.2,52.0,63.4,56.1,49.0,39.0,324.0,233.0,1.39,5.0,HarrNa00
9.0,33.0,30.0,174,5.8,1.0,0.0,75.7,76.6,82.5,56.7,126,4.2,6.0,20.0,8.0,21.0,7.0,0.0,0.0,174,2.0,37,21.3,10.0,73.8,55.1,12.0,9.0,75.0,60.0,1.25,0.0,DaviIs00
14.0,265.0,228.0,950,4.2,6.0,1.0,73.7,76.6,85.3,58.0,629,2.76,41.0,24.0,25.0,167.0,47.0,0.0,0.0,950,10.0,181,19.1,52.0,64.7,38.7,87.0,68.0,543.0,311.0,1.75,7.0,KamaAl00
18.0,313.0,268.0,1186,4.4,5.0,5.0,75.4,76.5,44.1,40.1,796,2.97,46.0,41.0,26.0,162.0,103.0,0.0,0.0,1186,9.0,217,18.3,50.0,70.6,51.7,64.0,54.0,420.0,347.0,1.21,3.0,JoneAa00
16.0,311.0,287.0,1212,4.2,13.0,1.0,75.8,76.5,87.5,74.5,839,2.92,42.0,59.0,33.0,190.0,94.0,0.0,0.0,1212,13.0,340,28.1,60.0,65.7,52.4,53.0,39.0,334.0,272.0,1.23,3.0,MixoJo00
12.0,64.0,50.0,308,6.2,2.0,1.0,80.0,76.3,56.2,59.1,163,3.26,5.0,36.0,9.0,17.0,33.0,0.0,0.0,308,4.0,103,33.4,17.0,81.8,62.0,11.0,9.0,109.0,42.0,2.6,0.0,TuckSe00
16.0,121.0,109.0,483,4.4,2.0,1.0,72.6,76.3,69.3,60.0,309,2.83,21.0,58.0,17.0,60.0,47.0,0.0,0.0,483,8.0,188,38.9,22.0,59.8,33.9,16.0,14.0,68.0,126.0,0.54,0.0,AkerCa00
11.0,65.0,55.0,205,3.7,2.0,1.0,68.0,76.1,56.3,58.1,138,2.51,10.0,26.0,3.0,32.0,21.0,0.0,0.0,205,1.0,26,12.7,12.0,57.6,38.2,28.0,24.0,148.0,130.0,1.14,0.0,SandMi01
12.0,175.0,153.0,789,5.2,3.0,3.0,72.7,76.1,43.4,67.3,512,3.35,35.0,38.0,23.0,110.0,41.0,0.0,0.0,789,12.0,291,36.9,38.0,53.4,44.5,14.0,11.0,91.0,170.0,0.54,0.0,MasoJo00
13.0,66.0,55.0,150,2.7,6.0,0.0,69.5,76.0,84.5,58.8,114,2.07,5.0,9.0,0.0,19.0,31.0,0.0,0.0,150,0.0,0,0.0,17.0,67.3,36.5,17.0,16.0,104.0,136.0,0.76,0.0,JohnRo07
15.0,81.0,68.0,249,3.7,0.0,1.0,65.3,75.8,55.7,43.2,221,3.25,16.0,20.0,8.0,44.0,20.0,0.0,0.0,249,4.0,72,28.9,11.0,34.2,81.6,6.0,3.0,8.0,78.0,0.1,2.0,WrigJa04
17.0,133.0,120.0,538,4.5,1.0,2.0,72.6,75.5,55.3,57.5,469,3.91,36.0,45.0,14.0,47.0,68.0,0.0,0.0,538,7.0,167,31.0,23.0,65.6,44.3,29.0,23.0,206.0,164.0,1.26,1.0,GibsAn00
3.0,8.0,5.0,22,4.4,0.0,0.0,72.9,75.4,69.7,60.0,17,3.4,1.0,7.0,0.0,5.0,0.0,0.0,0.0,22,0.0,0,0.0,1.0,59.7,75.7,0.0,0.0,0.0,1.0,0.0,0.0,WardJo00
16.0,255.0,228.0,845,3.7,9.0,0.0,74.4,74.9,91.0,60.6,595,2.61,31.0,20.0,15.0,141.0,80.0,0.0,0.0,845,3.0,52,6.2,50.0,62.0,59.8,30.0,26.0,189.0,242.0,0.78,0.0,HuntKa00
15.0,195.0,168.0,766,4.6,7.0,3.0,68.1,74.6,27.5,59.2,628,3.74,46.0,65.0,20.0,67.0,98.0,0.0,0.0,766,8.0,242,31.6,38.0,36.8,25.3,11.0,7.0,54.0,129.0,0.42,2.0,BigsTa00
16.0,276.0,235.0,1079,4.6,2.0,3.0,73.9,74.4,61.3,54.3,771,3.28,45.0,27.0,26.0,150.0,69.0,0.0,0.0,1079,9.0,170,15.8,53.0,64.9,62.1,49.0,39.0,249.0,283.0,0.88,3.0,DowdRi01
18.0,400.0,351.0,1481,4.2,14.0,6.0,69.1,74.3,47.6,53.8,967,2.75,60.0,30.0,31.0,166.0,178.0,0.0,0.0,1481,9.0,194,13.1,91.0,55.2,41.0,42.0,38.0,197.0,402.0,0.49,1.0,WillKy02
16.0,249.0,229.0,990,4.3,7.0,2.0,75.7,73.8,73.9,61.1,706,3.08,45.0,40.0,23.0,128.0,95.0,0.0,0.0,990,10.0,235,23.7,49.0,76.8,62.3,63.0,54.0,360.0,339.0,1.06,3.0,BrowCh10
17.0,191.0,145.0,614,4.2,3.0,3.0,73.8,73.7,49.0,63.2,453,3.12,24.0,56.0,12.0,74.0,65.0,0.0,0.0,614,5.0,142,23.1,35.0,69.3,69.2,57.0,53.0,407.0,311.0,1.31,0.0,WhitRa01
16.0,310.0,260.0,1079,4.2,5.0,2.0,68.7,73.5,76.2,74.1,884,3.4,38.0,41.0,30.0,99.0,150.0,0.0,0.0,1079,13.0,282,26.1,53.0,51.6,54.4,55.0,41.0,238.0,301.0,0.79,8.0,PollTo00
6.0,31.0,25.0,107,4.3,0.0,0.0,71.5,73.1,79.5,71.3,64,2.56,3.0,12.0,2.0,10.0,14.0,0.0,0.0,107,0.0,0,0.0,6.0,66.0,42.0,6.0,5.0,34.0,39.0,0.87,0.0,RiveRo01
20.0,154.0,120.0,478,4.0,4.0,1.0,70.4,73.1,55.0,59.7,364,3.03,30.0,23.0,12.0,50.0,68.0,0.0,0.0,478,5.0,92,19.2,27.0,61.4,23.1,18.0,17.0,189.0,112.0,1.69,0.0,DaviRa04
4.0,16.0,13.0,94,7.2,0.0,1.0,63.0,73.0,24.1,60.0,72,5.54,1.0,43.0,2.0,9.0,4.0,0.0,0.0,94,2.0,59,62.8,4.0,27.2,,3.0,3.0,-2.0,7.0,-0.29,0.0,BadiTy00
10.0,29.0,22.0,102,4.6,0.0,0.0,70.7,73.0,81.7,70.6,60,2.73,4.0,12.0,1.0,9.0,11.0,0.0,0.0,102,0.0,0,0.0,2.0,53.8,86.3,3.0,2.0,11.0,43.0,0.26,0.0,ChesJu00
4.0,49.0,39.0,183,4.7,0.0,0.0,76.1,72.7,81.8,58.4,125,3.21,8.0,29.0,6.0,21.0,18.0,0.0,0.0,183,3.0,65,35.5,10.0,82.6,55.8,6.0,6.0,29.0,25.0,1.16,0.0,McCoSi00
6.0,19.0,9.0,49,5.4,0.0,0.0,75.8,72.4,29.0,91.9,45,5.0,0.0,22.0,1.0,3.0,4.0,0.0,0.0,49,1.0,22,44.9,4.0,61.3,67.3,3.0,3.0,11.0,22.0,0.5,0.0,DallDe00
12.0,22.0,20.0,69,3.5,0.0,0.0,70.8,72.3,81.4,60.0,58,2.9,5.0,15.0,1.0,6.0,13.0,0.0,0.0,69,1.0,15,21.7,4.0,65.5,85.4,11.0,10.0,59.0,69.0,0.86,0.0,HastJa02
12.0,34.0,26.0,108,4.2,0.0,0.0,58.4,71.3,82.7,57.3,68,2.62,2.0,19.0,2.0,12.0,10.0,0.0,0.0,108,1.0,19,17.6,6.0,48.5,42.8,21.0,14.0,104.0,134.0,0.78,1.0,StroPi00
