PFR_ID,PPR,Day,G#,Week,Age,Team,Home_Away,Opp,WINS,LOSSES,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,WINS_opponent,LOSSES_opponent,PF_opponent,PA_opponent,OVER_opponent,OFF_opponent,PASS_opponent,PBLK_opponent,RECV_opponent,RUN_opponent,RBLK_opponent,DEF_opponent,RDEF_opponent,TACK_opponent,PRSH_opponent,COV_opponent
FullWi01,53.7,Sun,5,5,25.47,HOU,Home,ATL,11,5,402.0,316.0,92.7,77.0,80.8,69.8,84.5,75.0,47.1,90.2,91.9,61.9,77.8,90.2,7,9,414.0,423.0,90.0,82.4,80.0,78.2,81.2,69.5,73.8,71.9,70.0,49.5,68.9,74.4
JoneAa00,49.2,Sun,5,5,24.84,GNB,Away,DAL,6,9,376.0,400.0,85.1,79.1,81.0,88.5,72.7,82.8,59.4,74.1,74.5,53.6,71.8,69.5,10,6,339.0,324.0,87.0,75.3,73.2,73.1,75.4,71.2,64.7,82.4,77.4,51.1,73.4,89.6
McCaCh01,47.7,Sun,5,5,23.33,CAR,Home,JAX,7,9,376.0,382.0,80.6,72.5,67.6,76.6,73.9,77.8,54.6,75.9,80.5,61.3,67.0,73.7,5,11,245.0,316.0,77.0,62.9,60.9,65.0,60.4,61.8,63.9,83.7,83.0,66.8,77.6,84.1
WatkSa00,46.8,Sun,1,1,26.24,KAN,Away,JAX,12,4,565.0,421.0,93.7,89.5,92.6,81.8,86.1,85.9,70.0,77.7,61.9,58.6,90.0,75.0,5,11,245.0,316.0,77.0,62.9,60.9,65.0,60.4,61.8,63.9,83.7,83.0,66.8,77.6,84.1
EvanMi00,45.0,Sun,3,3,26.09,TAM,Home,NYG,5,11,396.0,464.0,78.3,78.6,76.2,70.7,86.3,68.6,52.7,60.9,56.9,54.4,60.9,67.1,5,11,369.0,412.0,81.0,73.7,62.8,66.2,79.8,80.4,62.3,70.5,73.3,52.6,68.3,68.7
BarkSa00,43.9,Sun,15,16,22.87,NYG,Away,WAS,5,11,369.0,412.0,81.0,73.7,62.8,66.2,79.8,80.4,62.3,70.5,73.3,52.6,68.3,68.7,7,9,281.0,359.0,74.8,64.1,57.9,71.1,63.9,75.4,56.8,77.8,72.3,84.0,70.6,80.9
RodgAa00,43.76,Sun,7,7,35.88,GNB,Home,OAK,6,9,376.0,400.0,85.1,79.1,81.0,88.5,72.7,82.8,59.4,74.1,74.5,53.6,71.8,69.5,4,12,290.0,467.0,70.9,70.4,71.7,62.2,72.9,68.8,61.5,60.6,70.1,50.2,53.0,55.0
AlleKe00,43.6,Sun,3,3,27.41,LAC,Home,HOU,12,4,428.0,329.0,92.1,84.2,86.8,59.7,86.0,91.4,62.5,79.0,70.4,61.5,68.8,91.4,11,5,402.0,316.0,92.7,77.0,80.8,69.8,84.5,75.0,47.1,90.2,91.9,61.9,77.8,90.2
DiggSt00,43.5,Sun,6,6,25.87,MIN,Home,PHI,8,7,360.0,341.0,89.3,76.4,79.2,63.6,80.9,74.5,55.0,84.0,87.0,91.6,68.5,87.1,9,7,367.0,348.0,92.1,79.0,78.3,78.8,75.5,65.1,77.0,86.0,82.8,57.6,86.6,77.1
JoneMa02,43.3,Sun,6,7,29.61,DET,Home,MIN,6,10,324.0,360.0,83.6,75.6,75.5,80.6,72.6,69.5,63.5,74.9,89.2,86.7,61.0,66.8,8,7,360.0,341.0,89.3,76.4,79.2,63.6,80.9,74.5,55.0,84.0,87.0,91.6,68.5,87.1
