#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
2.0,4.0,2.0,50.0,105,52.5,1.0,93.3,92.3,68.3,64.0,,10.0,9.0,90.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,20.0,10.0,11.67,33.8,61.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,135.4,LockRi00
19.0,143.0,107.0,74.8,1585,14.8,20.0,92.9,91.9,69.8,84.1,61.4,757.0,646.0,85.3,81.0,10.7,367.0,48.5,40.0,5.3,338.0,44.6,743.0,6.9,2.45,9.9,52.0,8.0,7.0,0.0,0.0,,4.0,0.0,15.0,83.0,138.5,GronRo00
17.0,166.0,108.0,65.1,1896,17.6,18.0,91.2,91.0,79.5,60.0,,766.0,729.0,95.2,0.0,0.0,152.0,19.8,614.0,80.2,0.0,0.0,617.0,5.7,2.6,15.0,73.0,7.0,6.1,0.0,0.0,,4.0,1.0,19.0,87.0,130.0,JohnCa00
18.0,163.0,110.0,67.5,1459,13.3,14.0,90.1,90.5,74.9,60.5,55.6,712.0,623.0,87.5,61.0,8.6,281.0,39.5,139.0,19.5,279.0,39.2,529.0,4.8,2.34,9.8,66.0,7.0,6.0,0.0,0.0,,5.0,1.0,11.0,83.0,111.5,GrahJi00
16.0,33.0,27.0,81.8,271,10.0,3.0,89.5,89.9,86.5,75.9,51.0,254.0,151.0,59.4,93.0,36.6,17.0,6.7,4.0,1.6,208.0,81.9,138.0,5.1,1.79,6.4,48.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,13.0,131.2,KingJe00
12.0,68.0,43.0,63.2,856,19.9,5.0,89.2,89.9,83.9,78.5,,358.0,336.0,93.9,0.0,0.0,63.0,17.6,295.0,82.4,0.0,0.0,191.0,4.4,2.55,17.0,52.0,1.0,2.3,0.0,0.0,,1.0,0.0,0.0,41.0,125.2,FloyMa00
19.0,168.0,104.0,61.9,1637,15.7,11.0,89.2,89.2,68.2,58.6,,775.0,741.0,95.6,0.0,0.0,44.0,5.7,731.0,94.3,0.0,0.0,562.0,5.4,2.21,13.6,72.0,8.0,7.1,0.0,0.0,,5.0,1.0,15.0,72.0,103.7,NickHa01
16.0,151.0,80.0,53.0,1411,17.6,8.0,89.8,89.1,84.9,82.2,,661.0,628.0,95.0,0.0,0.0,143.0,21.6,516.0,78.1,0.0,0.0,505.0,6.3,2.25,13.5,73.0,3.0,3.6,0.0,0.0,,9.0,0.0,14.0,62.0,78.0,FitzLa00
8.0,7.0,7.0,100.0,169,24.1,0.0,90.4,88.8,75.6,69.5,,36.0,35.0,97.2,0.0,0.0,6.0,16.7,30.0,83.3,0.0,0.0,59.0,8.4,4.83,15.7,77.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,118.8,HollJe00
16.0,124.0,96.0,77.4,1394,14.5,9.0,89.5,88.3,83.9,30.0,65.7,599.0,569.0,95.0,1.0,0.2,318.0,53.1,281.0,46.9,0.0,0.0,320.0,3.3,2.45,12.1,50.0,3.0,3.0,0.0,0.0,,1.0,2.0,3.0,71.0,134.3,ColsMa00
