RANK,PLAYER,#,POS,#G,TEAM,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP
1,Bilal Powell,# 29,HB,16,NYJ,144,131,722,5.5,3,1,77.8,85.9,76.0,42.0,421,3.21,22,35,24,64,51,0,0,714,9,187,25.9,45,0 (0),63.7,63.3,69,58,388,317,1.22,3
2,Andre Williams,# 44,HB,1,SD,18,18,87,4.8,0,0,81.1,83.1,76.5,-,51,2.83,1,14,2,8,10,0,0,87,0,0,0.0,6,0 (0),26.4,79.6,2,0,0,4,0.00,2
3,Mike Gillislee,# 35,HB,15,BUF,131,101,577,5.7,8,0,79.2,82.0,66.5,58.3,338,3.35,16,44,16,42,51,0,0,577,10,251,43.5,39,0 (0),58.2,54.0,11,9,50,104,0.48,0
4,Kenneth Dixon,# 30,HB,12,BLT,94,88,382,4.3,2,1,72.5,81.7,66.9,60.0,259,2.94,26,20,12,54,26,0,0,382,6,102,26.7,26,1 (0),52.1,39.9,40,30,162,127,1.28,4
5,Le'Veon Bell,# 26,HB,15,PIT,360,326,"1,625",5.0,9,4,78.2,80.1,65.3,58.9,994,3.05,54,44,45,93,202,0,0,"1,625",14,329,20.2,89,6 (1),66.5,86.7,95,79,619,439,1.41,6
6,Jay Ajayi,# 23,HB,16,MIA,313,276,"1,306",4.7,8,4,77.3,79.9,56.1,59.5,932,3.38,59,62,39,233,41,0,0,"1,306",15,451,34.5,60,6 (1),58.4,68.6,36,30,163,240,0.68,2
7,Jordan Howard,# 24,HB,15,CHI,273,252,"1,313",5.2,6,2,73.8,79.5,74.1,54.7,752,2.98,40,69,43,174,67,0,0,"1,313",19,485,36.9,71,2 (0),41.0,81.9,46,29,298,303,0.98,8
8,Ezekiel Elliott,# 21,HB,16,DAL,398,344,"1,756",5.1,15,5,77.2,77.9,63.6,60.8,"1,018",2.96,38,60,50,190,147,0,0,"1,756",23,572,32.6,97,3 (0),62.4,56.9,38,33,361,288,1.25,1
9,Ty Montgomery,# 88,HB,17,GB,128,102,548,5.4,5,2,76.0,77.6,59.1,58.0,451,4.42,21,61,14,75,18,0,0,548,8,226,41.2,25,0 (0),70.7,75.0,59,54,425,307,1.38,2
10,Eddie Lacy,# 27,HB,5,GB,79,71,360,5.1,0,0,74.7,75.4,85.5,60.0,242,3.41,19,31,10,57,12,0,0,360,4,109,30.3,15,0 (0),55.1,79.6,6,4,28,67,0.42,0
