RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,10 - 6,379,324,87.6,76.6,69.9,64.5,81.2,67.2,69.2,82.6,79.7,85.5,64.9,91.8,47.8
,Atlanta Falcons,4 - 12,353,443,80.1,77.8,75.6,73.8,73.5,71.0,75.7,63.3,71.1,62.1,55.3,59.5,54.3
,Baltimore Ravens,8 - 8,320,352,84.2,73.1,66.7,82.1,72.0,52.7,74.4,77.3,83.1,78.3,69.1,73.6,46.4
,Buffalo Bills,6 - 10,339,388,82.6,69.5,58.4,79.9,65.0,66.1,72.2,88.4,87.9,90.2,71.9,91.0,35.7
,Carolina Panthers,12 - 4,366,241,93.2,82.5,71.6,87.9,78.3,68.5,80.4,84.6,77.8,78.4,72.6,91.3,68.6
,Chicago Bears,8 - 8,445,478,85.6,90.0,85.5,72.9,87.8,69.9,88.9,47.3,34.8,64.0,58.3,55.2,71.6
,Cincinnati Bengals,11 - 5,430,305,93.5,83.0,76.5,87.5,80.2,60.2,81.6,87.2,84.4,60.3,64.9,92.8,54.4
,Cleveland Browns,4 - 12,308,406,79.6,75.2,65.2,92.5,67.6,71.3,73.7,70.1,78.3,70.0,57.5,66.7,41.2
,Dallas Cowboys,8 - 8,439,432,87.5,85.4,79.5,87.4,75.8,67.5,90.0,60.9,54.4,72.4,60.7,70.8,62.1
,Denver Broncos,13 - 3,606,399,95.4,92.7,92.6,84.3,86.9,71.2,89.2,77.1,86.0,90.2,66.5,76.5,63.4
,Detroit Lions,7 - 9,395,376,88.8,81.6,83.2,84.6,73.7,63.1,81.4,73.6,72.1,69.5,74.7,76.8,44.6
,Green Bay Packers,8 - 7 - 1,417,428,86.4,87.0,77.7,82.8,82.5,79.1,82.9,59.5,53.2,66.2,58.0,66.1,39.9
,Houston Texans,2 - 14,276,428,83.3,78.1,57.1,75.8,75.5,79.7,88.3,68.5,82.3,70.3,70.6,48.9,51.2
,Indianapolis Colts,11 - 5,391,336,86.9,75.8,71.9,77.1,71.4,70.9,69.7,75.1,72.1,89.0,65.9,79.3,75.3
,Jacksonville Jaguars,4 - 12,247,449,65.5,63.0,57.2,77.6,63.5,55.0,57.8,63.5,64.6,80.1,68.0,56.6,46.4
,Kansas City Chiefs,11 - 5,430,305,91.9,74.2,69.8,75.6,64.1,73.3,82.6,88.0,91.1,83.4,68.8,90.0,67.6
,Miami Dolphins,8 - 8,317,335,91.0,82.2,79.9,78.1,78.7,74.7,69.2,77.7,71.6,80.6,74.2,80.8,44.9
,Minnesota Vikings,5 - 10 - 1,391,480,85.8,82.1,56.4,85.0,76.6,82.6,89.0,63.3,71.5,62.9,68.4,44.7,65.2
,New England Patriots,12 - 4,444,338,92.1,83.5,80.8,78.7,77.3,73.3,78.6,72.5,77.0,91.9,56.1,75.5,74.0
,New Orleans Saints,11 - 5,414,304,93.3,89.5,87.5,83.8,86.8,74.5,78.5,74.4,75.4,91.2,65.9,77.8,59.2
,New York Giants,7 - 9,294,383,83.6,74.7,68.9,66.7,73.1,59.6,79.5,76.5,82.5,90.4,59.1,86.2,50.6
,New York Jets,8 - 8,290,387,79.3,71.6,57.2,79.2,72.9,71.2,66.3,71.6,92.9,80.9,60.9,44.9,57.6
,Oakland Raiders,4 - 12,322,453,65.8,69.2,54.7,77.9,74.0,67.4,63.7,55.4,69.3,67.6,57.6,40.0,66.5
,Philadelphia Eagles,10 - 6,442,382,91.9,87.4,66.9,78.5,81.2,78.2,93.0,71.5,83.4,79.3,57.8,70.0,49.6
,Pittsburgh Steelers,8 - 8,379,370,89.9,83.4,84.4,80.0,78.7,69.2,75.4,71.8,68.0,71.4,58.8,82.7,51.7
,San Diego Chargers,9 - 7,396,348,86.1,86.8,89.4,77.3,85.4,63.8,82.4,57.0,58.8,77.3,59.4,51.7,57.8
,San Francisco 49ers,12 - 4,406,272,92.1,77.8,69.5,84.0,73.5,64.4,82.0,86.4,84.9,89.8,65.0,92.5,55.5
,Seattle Seahawks,13 - 3,417,231,94.9,85.6,83.8,67.3,82.9,87.7,78.2,90.7,83.4,91.9,81.5,94.0,62.6
,St. Louis Rams,7 - 9,348,364,80.9,75.1,71.9,82.6,69.6,59.0,76.8,69.7,69.8,46.5,79.9,63.2,38.4
,Tampa Bay Buccaneers,4 - 12,288,389,79.4,76.8,66.7,82.1,71.2,81.8,73.5,65.6,63.9,57.7,63.3,72.6,60.7
,Tennessee Titans,7 - 9,362,381,89.3,78.5,71.7,76.7,71.8,63.0,86.9,79.9,76.3,81.7,70.6,88.3,51.9
,Washington Redskins,3 - 13,334,478,74.4,79.0,63.4,87.2,68.8,74.8,88.7,54.2,46.3,42.4,64.5,52.8,33.4
,,,,,,,,,,,,,,,,,
