RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,DeAndre Hopkins,# 10,WR,17,HST,169,120,71.0,"1,609",13.4,11,92.0,92.1,92.1,42.1,-,732,684,93.4,0,0.0,144,19.7,588,80.3,0,0.0,397,3.3,2.35,12.2,49,0,0.0,45,25,55.6,3,2,12,85,115.2
2,Michael Thomas,# 13,WR,18,NO,168,141,83.9,"1,612",11.4,10,91.6,91.9,91.3,46.5,64.9,647,610,94.3,1,0.2,207,32.0,439,67.9,1,0.2,574,4.1,2.64,8.3,72,3,2.1,35,20,57.1,1,2,18,83,124.0
3,Julio Jones,# 11,WR,16,ATL,166,113,68.1,"1,677",14.8,8,90.9,90.7,71.9,38.6,-,605,572,94.5,0,0.0,126,20.8,479,79.2,0,0.0,452,4.0,2.93,14.3,58,8,6.6,40,20,50.0,3,2,11,79,109.4
4,George Kittle,# 85,TE,16,SF,128,88,68.8,"1,377",15.6,5,89.7,90.4,68.4,83.1,55.7,592,489,82.6,67,11.3,179,30.2,52,8.8,336,56.8,873,9.9,2.82,7.6,85,6,6.4,19,5,26.3,3,0,17,60,107.5
5,Travis Kelce,# 87,TE,18,KC,154,113,73.4,"1,467",13.0,11,87.9,90.3,60.7,38.6,72.7,751,655,87.2,45,6.0,319,42.5,153,20.4,276,36.8,643,5.7,2.24,9.3,43,9,7.4,25,16,64.0,3,2,11,74,118.6
6,O.J. Howard,# 80,TE,10,TB,47,34,72.3,565,16.6,5,88.9,90.0,70.8,77.3,75.4,292,253,86.6,30,10.3,145,49.7,23,7.9,123,42.1,217,6.4,2.23,11.6,75,2,5.6,11,5,45.5,4,0,5,28,112.5
7,Odell Beckham Jr.,# 13,WR,12,NYG,119,77,64.7,"1,052",13.7,6,90.0,89.9,84.0,84.7,-,489,465,95.1,0,0.0,144,29.4,343,70.1,1,0.2,318,4.1,2.26,12.5,51,3,3.8,24,7,29.2,4,0,20,51,95.6
8,Tyreek Hill,# 10,WR,18,KC,145,96,66.2,"1,593",16.6,12,89.0,89.8,69.8,70.8,-,703,653,92.9,0,0.0,312,44.4,353,50.2,14,2.0,551,5.7,2.44,15.9,75,6,5.9,22,13,59.1,6,0,12,65,113.4
9,Keenan Allen,# 13,WR,18,LAC,137,103,75.2,"1,308",12.7,7,89.3,89.7,87.4,63.3,65.7,602,563,93.5,1,0.2,337,56.0,262,43.5,2,0.3,422,4.1,2.32,9.9,54,4,3.7,19,9,47.4,3,2,7,66,112.4
10,Adam Thielen,# 19,WR,16,MIN,149,113,75.8,"1,373",12.2,9,89.4,89.4,90.0,62.9,77.7,694,655,94.4,3,0.4,393,56.6,295,42.5,6,0.9,419,3.7,2.10,10.0,68,5,4.2,18,7,38.9,3,1,6,74,115.4
11,Davante Adams,# 17,WR,15,GB,162,111,68.5,"1,386",12.5,13,87.8,87.5,85.1,84.3,-,695,653,94.0,0,0.0,144,20.7,550,79.1,0,0.0,477,4.3,2.12,11.7,57,5,4.3,20,6,30.0,0,0,9,64,121.6
12,T.Y. Hilton,# 13,WR,16,IND,131,85,64.9,"1,415",16.6,7,87.6,87.0,81.5,82.9,-,612,573,93.6,0,0.0,169,27.6,442,72.2,0,0.0,469,5.5,2.47,11.8,68,4,4.5,35,16,45.7,3,0,8,61,109.4
13,Robert Woods,# 17,WR,19,LA,152,103,67.8,"1,391",13.5,6,86.4,86.5,90.7,85.9,79.5,763,707,92.7,14,1.8,427,56.0,325,42.6,11,1.4,492,4.8,1.97,10.9,39,3,2.8,23,11,47.8,3,0,8,74,101.6
14,Tyler Boyd,# 83,WR,14,CIN,103,76,73.8,"1,028",13.5,7,84.5,85.7,84.0,82.3,-,538,500,92.9,0,0.0,394,73.2,132,24.5,8,1.5,422,5.6,2.06,9.6,49,3,3.8,16,7,43.8,0,0,6,54,127.8
15,A.J. Green,# 18,WR,9,CIN,77,46,59.7,694,15.1,6,85.2,84.9,63.2,23.9,-,313,290,92.7,0,0.0,88,28.1,225,71.9,0,0.0,152,3.3,2.39,13.6,38,5,9.8,21,12,57.1,2,2,3,37,104.6
16,Tyler Lockett,# 16,WR,17,SEA,71,61,85.9,"1,085",17.8,10,82.3,84.7,90.8,73.0,-,523,487,93.1,0,0.0,262,50.1,256,48.9,5,1.0,248,4.1,2.23,14.9,53,0,0.0,9,7,77.8,0,1,2,40,158.3
17,Mike Evans,# 13,WR,16,TB,135,86,63.7,"1,524",17.7,8,84.3,84.2,55.7,53.8,65.9,680,637,93.7,1,0.1,120,17.6,558,82.1,1,0.1,294,3.4,2.39,16.5,72,7,7.5,26,16,61.5,8,1,5,69,97.3
18,Albert Wilson,# 15,WR,7,MIA,36,26,72.2,391,15.0,4,82.5,82.7,77.8,78.8,61.6,145,129,89.0,1,0.7,48,33.1,93,64.1,0,0.0,345,13.3,3.03,7.8,75,1,3.7,2,0,0.0,3,0,9,11,109.8
19,Brandin Cooks,# 12,WR,19,LA,137,99,72.3,"1,496",15.1,5,81.2,82.5,90.6,60.6,-,737,696,94.4,0,0.0,212,28.8,520,70.6,1,0.1,429,4.3,2.15,13.4,57,2,2.0,32,14,43.8,3,1,8,70,110.8
20,MyCole Pruitt,# 85,TE,13,TEN,11,9,81.8,102,11.3,1,80.6,82.4,77.3,70.6,79.6,62,50,80.6,11,17.7,9,14.5,7,11.3,45,72.6,28,3.1,2.04,10.4,27,0,0.0,2,1,50.0,0,0,0,6,135.6
21,Jared Cook,# 87,TE,16,OAK,99,68,68.7,896,13.2,6,75.5,81.4,68.4,81.2,50.1,540,490,90.7,23,4.3,179,33.1,109,20.2,250,46.3,361,5.3,1.83,8.6,45,5,6.8,24,11,45.8,4,0,7,46,100.4
22,Kenny Golladay,# 19,WR,15,DET,115,70,60.9,"1,063",15.2,5,81.0,81.3,81.9,49.4,-,610,568,93.1,0,0.0,182,29.8,419,68.7,8,1.3,350,5.0,1.87,12.5,60,3,4.1,30,17,56.7,2,1,7,56,98.6
23,Delanie Walker,# 82,TE,1,TEN,7,4,57.1,52,13.0,0,79.4,81.2,72.1,67.0,-,27,26,96.3,0,0.0,9,33.3,5,18.5,12,44.4,19,4.8,2.00,7.1,16,0,0.0,1,1,100.0,1,0,2,4,41.1
23,JuJu Smith-Schuster,# 19,WR,16,PIT,161,111,68.9,"1,426",12.8,7,81.8,81.2,80.2,60.6,-,728,684,94.0,0,0.0,444,61.0,284,39.0,0,0.0,660,5.9,2.08,9.3,97,6,5.1,41,21,51.2,4,1,7,68,100.6
25,Will Fuller V,# 15,WR,7,HST,42,32,76.2,503,15.7,4,81.2,81.1,89.0,77.1,65.7,250,225,90.0,1,0.4,56,22.4,193,77.2,1,0.4,165,5.2,2.24,15.0,73,0,0.0,4,3,75.0,0,0,1,23,147.2
26,Stefon Diggs,# 14,WR,15,MIN,141,102,72.3,"1,021",10.0,9,81.1,81.0,91.2,84.5,66.3,627,595,94.9,1,0.2,140,22.3,481,76.7,3,0.5,438,4.3,1.72,9.8,75,1,1.0,25,16,64.0,2,0,12,49,107.9
27,DeSean Jackson,# 11,WR,12,TB,72,41,56.9,774,18.9,4,79.4,80.8,74.8,81.0,-,361,341,94.5,0,0.0,59,16.3,301,83.4,0,0.0,177,4.3,2.27,19.6,75,2,4.7,11,3,27.3,7,0,2,31,73.3
27,Julian Edelman,# 11,WR,15,NE,137,100,73.0,"1,238",12.4,6,82.4,80.8,48.4,89.9,-,595,561,94.3,0,0.0,381,64.0,210,35.3,0,0.0,493,4.9,2.21,8.2,36,11,9.9,17,6,35.3,3,0,9,63,106.0
29,Doug Baldwin,# 89,WR,14,SEA,79,53,67.1,650,12.3,5,80.6,80.5,87.7,79.7,69.9,409,380,92.9,4,1.0,266,65.0,133,32.5,10,2.4,162,3.1,1.71,12.4,42,1,1.9,20,9,45.0,1,0,3,33,108.1
30,Mike Williams,# 81,WR,18,LAC,81,50,61.7,774,15.5,10,80.5,80.3,72.9,80.7,-,488,456,93.4,0,0.0,147,30.1,340,69.7,1,0.2,138,2.8,1.70,15.6,55,3,5.7,29,15,51.7,1,0,4,42,127.8
31,Emmanuel Sanders,# 10,WR,12,DEN,97,71,73.2,868,12.2,4,81.1,80.1,70.8,82.2,73.4,443,409,92.3,1,0.2,276,62.3,163,36.8,0,0.0,302,4.3,2.12,9.7,64,4,5.3,11,3,27.3,2,1,7,37,105.5
32,Tim White,# 14,WR,1,BLT,1,1,100.0,14,14.0,0,89.8,79.6,64.7,28.2,-,1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,14.00,14.0,14,0,0.0,1,1,100.0,0,0,0,1,118.8
32,Chris Godwin,# 12,WR,16,TB,90,59,65.6,842,14.3,7,80.4,79.6,90.0,18.7,-,483,451,93.4,0,0.0,133,27.5,348,72.0,2,0.4,247,4.2,1.87,12.8,48,1,1.7,24,13,54.2,2,4,7,47,112.4
34,Zach Ertz,# 86,TE,18,PHI,168,126,75.0,"1,265",10.0,8,75.7,79.3,83.9,62.7,72.2,731,642,87.8,50,6.8,362,49.5,136,18.6,230,31.5,409,3.2,1.97,7.6,34,6,4.5,32,14,43.8,6,1,2,72,96.9
35,Cooper Kupp,# 18,WR,8,LA,49,40,81.6,566,14.2,6,77.3,79.1,75.0,80.6,79.9,271,250,92.3,7,2.6,190,70.1,80,29.5,1,0.4,304,7.6,2.26,8.8,70,2,4.8,5,2,40.0,1,0,6,25,145.9
36,Antonio Brown,# 84,WR,15,PIT,164,104,63.4,"1,297",12.5,15,79.3,79.0,91.3,84.1,-,716,670,93.6,0,0.0,147,20.5,569,79.5,0,0.0,494,4.8,1.94,11.6,78,1,1.0,26,5,19.2,11,0,14,64,90.4
37,Chris Herndon,# 89,TE,16,NYJ,54,39,72.2,502,12.9,4,74.8,78.7,74.8,34.5,70.0,377,304,80.6,61,16.2,160,42.4,43,11.4,166,44.0,187,4.8,1.65,10.6,32,2,4.9,11,7,63.6,2,1,3,25,110.3
37,Allen Robinson II,# 12,WR,14,CHI,107,65,60.7,897,13.8,5,77.7,78.7,84.7,38.9,67.6,526,492,93.5,1,0.2,205,39.0,317,60.3,4,0.8,254,3.9,1.82,12.7,45,2,3.0,27,16,59.3,3,1,10,41,91.5
39,Rob Gronkowski,# 87,TE,16,NE,90,60,66.7,873,14.6,3,75.2,78.0,70.3,42.9,68.9,615,510,82.9,77,12.5,283,46.0,97,15.8,232,37.7,258,4.3,1.71,12.1,42,2,3.2,17,9,52.9,3,1,6,42,95.3
40,Alshon Jeffery,# 17,WR,15,PHI,106,76,71.7,988,13.0,6,79.0,77.9,66.7,50.4,-,580,554,95.5,0,0.0,101,17.4,479,82.6,0,0.0,300,3.9,1.78,11.0,52,6,7.3,28,13,46.4,2,1,7,56,111.7
41,Luke Stocker,# 88,TE,16,TEN,21,15,71.4,165,11.0,2,76.1,77.8,81.7,73.8,77.9,184,112,60.9,70,38.0,6,3.3,8,4.3,110,59.8,68,4.5,1.47,7.3,31,0,0.0,4,1,25.0,0,0,1,10,126.1
42,Lee Smith,# 86,TE,16,OAK,11,10,90.9,73,7.3,3,78.4,77.5,78.0,71.1,72.7,108,45,41.7,59,54.6,1,0.9,2,1.9,103,95.4,57,5.7,1.62,3.1,30,0,0.0,1,0,0.0,0,0,0,5,133.9
43,Will Dissly,# 88,TE,4,SEA,12,8,66.7,156,19.5,2,72.7,77.2,76.5,70.1,75.2,75,67,89.3,6,8.0,31,41.3,8,10.7,36,48.0,96,12.0,2.33,11.5,66,0,0.0,1,0,0.0,0,0,3,5,149.3
44,Noah Brown,# 85,WR,9,DAL,13,7,53.8,73,10.4,0,73.0,76.5,75.6,69.5,74.3,44,40,90.9,2,4.5,16,36.4,21,47.7,5,11.4,27,3.9,1.83,8.9,22,1,12.5,3,0,0.0,1,0,2,3,38.3
45,Breshad Perriman,# 19,WR,10,CLV,25,16,64.0,340,21.3,2,70.9,76.0,82.7,75.4,-,145,134,92.4,0,0.0,36,24.8,109,75.2,0,0.0,76,4.8,2.54,18.8,66,0,0.0,6,2,33.3,0,0,2,13,134.2
46,Corey Davis,# 84,WR,16,TEN,108,65,60.2,891,13.7,4,76.4,75.8,72.2,48.2,-,516,486,94.2,0,0.0,154,29.8,358,69.4,3,0.6,274,4.2,1.83,10.8,51,4,5.8,9,4,44.4,1,1,8,46,95.1
47,Evan Engram,# 88,TE,11,NYG,63,45,71.4,577,12.8,3,76.3,75.7,62.4,79.5,70.4,349,315,90.3,17,4.9,157,45.0,52,14.9,135,38.7,390,8.7,1.83,5.5,54,3,6.3,10,2,20.0,0,0,6,22,115.6
48,Mark Andrews,# 89,TE,17,BLT,55,37,67.3,583,15.8,3,73.5,75.5,55.3,77.6,39.2,320,297,92.8,5,1.6,185,57.8,38,11.9,90,28.1,209,5.6,1.96,10.9,74,4,9.8,12,2,16.7,0,0,2,29,120.5
49,Amari Cooper,# 19,WR,17,DAL,120,88,73.3,"1,176",13.4,8,76.7,75.4,73.3,25.4,-,658,613,93.2,0,0.0,145,22.0,513,78.0,0,0.0,493,5.6,1.92,10.0,90,6,6.4,11,8,72.7,3,3,5,58,115.8
50,Jordan Reed,# 86,TE,13,WAS,78,54,69.2,558,10.3,2,73.1,75.2,81.6,40.2,32.8,374,341,91.2,15,4.0,165,44.1,76,20.3,129,34.5,241,4.5,1.64,6.7,34,2,3.6,12,4,33.3,2,1,5,26,87.4
51,Josh Gordon,# 10,WR,12,NE,67,41,61.2,737,18.0,4,73.5,74.6,51.5,78.3,64.5,403,379,94.0,1,0.2,41,10.2,362,89.8,0,0.0,267,6.5,1.94,14.4,55,5,10.9,16,6,37.5,1,0,7,30,112.6
52,Gerald Everett,# 81,TE,19,LA,53,35,66.0,370,10.6,3,76.5,74.5,82.8,78.6,51.3,363,312,86.0,31,8.5,58,16.0,132,36.4,172,47.4,169,4.8,1.19,7.4,40,1,2.8,6,4,66.7,1,0,6,19,97.2
